locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJKNNBLA_00803	CDS	723				[gene=glnQ] [locus_tag=b0809] [db_xref=UniProtKB/Swiss-Prot:P10346] [protein=L-glutamine ABC transporter ATP binding subunit] [protein_id=AAC73896.1][location=complement(845741..846463)] [gbkey=CDS]
FJKNNBLA_00804	CDS	660				[gene=glnP] [locus_tag=b0810] [db_xref=UniProtKB/Swiss-Prot:P0AEQ6] [protein=L-glutamine ABC transporter membrane subunit] [protein_id=AAC73897.1] [location=complement(846460..847119)][gbkey=CDS]
FJKNNBLA_00805	CDS	747				[gene=glnH] [locus_tag=b0811] [db_xref=UniProtKB/Swiss-Prot:P0AEQ3] [protein=L-glutamine ABC transporter periplasmic binding protein] [protein_id=AAC73898.1][location=complement(847258..848004)] [gbkey=CDS]
FJKNNBLA_00806	CDS	504				[gene=dps] [locus_tag=b0812] [db_xref=UniProtKB/Swiss-Prot:P0ABT2] [protein=DNA protection during starvation protein] [protein_id=AAC73899.1] [location=complement(848408..848911)][gbkey=CDS]
FJKNNBLA_00807	CDS	888				[gene=rhtA] [locus_tag=b0813] [db_xref=UniProtKB/Swiss-Prot:P0AA67] [protein=L-threonine/L-homoserine exporter] [protein_id=AAC73900.1] [location=complement(849210..850097)][gbkey=CDS]
FJKNNBLA_00808	CDS	516				[gene=ompX] [locus_tag=b0814] [db_xref=UniProtKB/Swiss-Prot:P0A917] [protein=outer membrane protein X] [protein_id=AAC73901.1] [location=850450..850965][gbkey=CDS]
FJKNNBLA_00809	CDS	1584				[gene=opgE] [locus_tag=b0815] [db_xref=UniProtKB/Swiss-Prot:P75785] [protein=phosphoethanolamine transferase] [protein_id=AAC73902.1] [location=complement(851014..852597)][gbkey=CDS]
FJKNNBLA_00810	CDS	129				[gene=mntS] [locus_tag=b4705] [db_xref=UniProtKB/Swiss-Prot:P0DKB3] [protein=small protein MntS] [protein_id=AHA50631.1] [location=complement(852869..852997)][gbkey=CDS]
FJKNNBLA_00811	CDS	468				[gene=mntR] [locus_tag=b0817] [db_xref=UniProtKB/Swiss-Prot:P0A9F1] [protein=DNA-binding transcriptional dual regulator MntR] [protein_id=AAC73904.1][location=853183..853650] [gbkey=CDS]
FJKNNBLA_00812	CDS	1119				[gene=ybiR] [locus_tag=b0818] [db_xref=UniProtKB/Swiss-Prot:P75788] [protein=putative transporter YbiR] [protein_id=AAC73905.1] [location=853647..854765][gbkey=CDS]
FJKNNBLA_00813	CDS	921				[gene=ldtB] [locus_tag=b0819] [db_xref=UniProtKB/Swiss-Prot:P0AAX8] [protein=L,D-transpeptidase LdtB] [protein_id=AAC73906.1] [location=complement(854824..855744)][gbkey=CDS]
FJKNNBLA_00814	CDS	1593				[gene=ybiT] [locus_tag=b0820] [db_xref=UniProtKB/Swiss-Prot:P0A9U3] [protein=putative ATP-binding protein YbiT] [protein_id=AAC73907.1] [location=855963..857555][gbkey=CDS]
FJKNNBLA_00815	CDS	1266				hypothetical protein
FJKNNBLA_00816	CDS	816				[gene=ybiV] [locus_tag=b0822] [db_xref=UniProtKB/Swiss-Prot:P75792] [protein=sugar phosphatase YbiV] [protein_id=AAC73909.1] [location=complement(859213..860028)][gbkey=CDS]
FJKNNBLA_00817	CDS	2433				[gene=ybiW] [locus_tag=b0823] [db_xref=UniProtKB/Swiss-Prot:P75793] [protein=putative pyruvate formate lyase] [protein_id=AAC73910.1] [location=complement(860174..862606)][gbkey=CDS]
FJKNNBLA_00818	CDS	900				[gene=ybiY] [locus_tag=b0824] [db_xref=UniProtKB/Swiss-Prot:P75794] [protein=putative pyruvate formate-lyase activating enzyme YbiY] [protein_id=AAC73911.2][location=complement(862612..863511)] [gbkey=CDS]
FJKNNBLA_00819	CDS	663				[gene=fsaA] [locus_tag=b0825] [db_xref=UniProtKB/Swiss-Prot:P78055] [protein=fructose-6-phosphate aldolase 1] [protein_id=AAC73912.2] [location=863642..864304][gbkey=CDS]
FJKNNBLA_00820	CDS	750				[gene=moeB] [locus_tag=b0826] [db_xref=UniProtKB/Swiss-Prot:P12282] [protein=molybdopterin-synthase adenylyltransferase] [protein_id=AAC73913.1] [location=complement(864380..865129)][gbkey=CDS]
FJKNNBLA_00821	CDS	1236				[gene=moeA] [locus_tag=b0827] [db_xref=UniProtKB/Swiss-Prot:P12281] [protein=molybdopterin molybdotransferase] [protein_id=AAC73914.1] [location=complement(865129..866364)][gbkey=CDS]
FJKNNBLA_00822	CDS	966				[gene=iaaA] [locus_tag=b0828] [db_xref=UniProtKB/Swiss-Prot:P37595] [protein=isoaspartyl dipeptidase proenzyme] [protein_id=AAC73915.1] [location=866568..867533][gbkey=CDS]
FJKNNBLA_00823	CDS	1872				[gene=gsiA] [locus_tag=b0829] [db_xref=UniProtKB/Swiss-Prot:P75796] [protein=glutathione ABC transporter ATP binding subunit GsiA] [protein_id=AAC73916.2][location=867520..869391] [gbkey=CDS]
FJKNNBLA_00824	CDS	1539				[gene=gsiB] [locus_tag=b0830] [db_xref=UniProtKB/Swiss-Prot:P75797] [protein=glutathione ABC transporter periplasmic binding protein] [protein_id=AAC73917.1][location=869411..870949] [gbkey=CDS]
FJKNNBLA_00825	CDS	921				[gene=gsiC] [locus_tag=b0831] [db_xref=UniProtKB/Swiss-Prot:P75798] [protein=glutathione ABC transporter membrane subunit GsiC] [protein_id=AAC73918.1][location=870967..871887] [gbkey=CDS]
FJKNNBLA_00826	CDS	912				[gene=gsiD] [locus_tag=b0832] [db_xref=UniProtKB/Swiss-Prot:P75799] [protein=glutathione ABC transporter membrane subunit GsiD] [protein_id=AAC73919.1][location=871890..872801] [gbkey=CDS]
FJKNNBLA_00827	CDS	2097				[gene=pdeI] [locus_tag=b0833] [db_xref=UniProtKB/Swiss-Prot:P75800] [protein=putative c-di-GMP phosphodiesterase PdeI] [protein_id=AAC73920.1] [location=872979..875327][gbkey=CDS]
FJKNNBLA_00828	CDS	1329				[gene=dgcI] [locus_tag=b0834] [db_xref=UniProtKB/Swiss-Prot:P75801] [protein=putative diguanylate cyclase DgcI] [protein_id=AAC73921.1] [location=875335..876663][gbkey=CDS]
FJKNNBLA_00829	CDS	1326				[gene=rimO] [locus_tag=b0835] [db_xref=UniProtKB/Swiss-Prot:P0AEI4] [protein=ribosomal protein S12 methylthiotransferase RimO] [protein_id=AAC73922.1][location=complement(876710..878035)] [gbkey=CDS]
FJKNNBLA_00830	CDS	384				[gene=bssR] [locus_tag=b0836] [db_xref=UniProtKB/Swiss-Prot:P0AAY1] [protein=regulator of biofilm formation] [protein_id=AAC73923.1] [location=878248..878631][gbkey=CDS]
FJKNNBLA_00831	CDS	1116				[gene=yliI] [locus_tag=b0837] [db_xref=UniProtKB/Swiss-Prot:P75804] [protein=aldose sugar dehydrogenase YliI] [protein_id=AAC73924.1] [location=878742..879857][gbkey=CDS]
FJKNNBLA_00832	CDS	627				[gene=gstB] [locus_tag=b0838] [db_xref=UniProtKB/Swiss-Prot:P0ACA7] [protein=glutathione S-transferase GstB] [protein_id=AAC73925.2] [location=complement(879854..880480)][gbkey=CDS]
FJKNNBLA_00833	CDS	1203				[gene=dacC] [locus_tag=b0839] [db_xref=UniProtKB/Swiss-Prot:P08506] [protein=D-alanyl-D-alanine carboxypeptidase DacC] [protein_id=AAC73926.1] [location=880727..881929][gbkey=CDS]
FJKNNBLA_00834	CDS	759				[gene=deoR] [locus_tag=b0840] [db_xref=UniProtKB/Swiss-Prot:P0ACK5] [protein=DNA-binding transcriptional repressor DeoR] [protein_id=AAC73927.1] [location=complement(881976..882734)][gbkey=CDS]
FJKNNBLA_00835	CDS	597				[gene=ybjG] [locus_tag=b0841] [db_xref=UniProtKB/Swiss-Prot:P75806] [protein=undecaprenyl pyrophosphate phosphatase] [protein_id=AAC73928.1] [location=complement(882792..883388)][gbkey=CDS]
FJKNNBLA_00836	CDS	1233				[gene=mdfA] [locus_tag=b0842] [db_xref=UniProtKB/Swiss-Prot:P0AEY8] [protein=multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter][protein_id=AAC73929.1] [location=883673..884905] [gbkey=CDS]
FJKNNBLA_00837	CDS	279				[gene=ybjH] [locus_tag=b0843] [db_xref=UniProtKB/Swiss-Prot:P0AAY4] [protein=uncharacterized protein YbjH] [protein_id=AAC73930.1] [location=complement(884946..885230)][gbkey=CDS]
FJKNNBLA_00838	CDS	816				[gene=ybjI] [locus_tag=b0844] [db_xref=UniProtKB/Swiss-Prot:P75809] [protein=5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase] [protein_id=AAC73931.2][location=complement(885316..886131)] [gbkey=CDS]
FJKNNBLA_00839	CDS	1128				[gene=ybjJ] [locus_tag=b0845] [db_xref=UniProtKB/Swiss-Prot:P75810] [protein=inner membrane protein YbjJ] [protein_id=AAC73932.1] [location=complement(886131..887339)][gbkey=CDS]
FJKNNBLA_00840	CDS	537				[gene=rcdA] [locus_tag=b0846] [db_xref=UniProtKB/Swiss-Prot:P75811] [protein=DNA-binding transcriptional regulator RcdA] [protein_id=AAC73933.1] [location=887423..887959][gbkey=CDS]
FJKNNBLA_00841	CDS	333				hypothetical protein
FJKNNBLA_00842	CDS	1017	xerC_1			Tyrosine recombinase XerC
FJKNNBLA_00843	CDS	192				hypothetical protein
FJKNNBLA_00844	CDS	570				hypothetical protein
FJKNNBLA_00845	CDS	222				hypothetical protein
FJKNNBLA_00846	CDS	510				hypothetical protein
FJKNNBLA_00847	CDS	201				hypothetical protein
FJKNNBLA_00848	CDS	342				hypothetical protein
FJKNNBLA_00849	CDS	234				hypothetical protein
FJKNNBLA_00850	CDS	228				[gene=ybiI] [locus_tag=b0803] [db_xref=UniProtKB/Swiss-Prot:P41039] [protein=zinc finger domain-containing protein YbiI] [protein_id=AAC73890.1] [location=complement(838190..838456)][gbkey=CDS]
FJKNNBLA_00851	CDS	858				[gene=dam] [locus_tag=b3387] [db_xref=UniProtKB/Swiss-Prot:P0AEE8] [protein=DNA adenine methyltransferase] [protein_id=AAC76412.1] [location=complement(3515077..3515913)][gbkey=CDS]
FJKNNBLA_00852	CDS	2415				hypothetical protein
FJKNNBLA_00853	CDS	189				hypothetical protein
FJKNNBLA_00854	CDS	234				hypothetical protein
FJKNNBLA_00855	CDS	336				hypothetical protein
FJKNNBLA_00856	CDS	924				hypothetical protein
FJKNNBLA_00857	CDS	963				hypothetical protein
FJKNNBLA_00858	CDS	1026				hypothetical protein
FJKNNBLA_00859	CDS	1767				hypothetical protein
FJKNNBLA_00860	CDS	753				hypothetical protein
FJKNNBLA_00861	CDS	429				hypothetical protein
FJKNNBLA_00862	CDS	432				hypothetical protein
FJKNNBLA_00863	CDS	447				hypothetical protein
FJKNNBLA_00864	CDS	807				hypothetical protein
FJKNNBLA_00865	CDS	579				hypothetical protein
FJKNNBLA_00866	CDS	360				hypothetical protein
FJKNNBLA_00867	CDS	909				hypothetical protein
FJKNNBLA_00868	CDS	606				hypothetical protein
FJKNNBLA_00869	CDS	1623				hypothetical protein
FJKNNBLA_00870	CDS	438				[gene=yfdK] [locus_tag=b2354] [db_xref=UniProtKB/Swiss-Prot:P77656] [protein=CPS-53 (KpLE1)prophage; putative tail fiber assembly protein YfdK] [protein_id=AAC75413.1][location=complement(2471077..2471517)][gbkey=CDS]
FJKNNBLA_00871	CDS	603				[gene=tfaE] [locus_tag=b1156] [db_xref=UniProtKB/Swiss-Prot:P09153] [protein=e14 prophage;putative tail fiber assembly protein TfaE] [protein_id=AAC74240.1][location=complement(1208517..1209119)] [gbkey=CDS]
FJKNNBLA_00872	CDS	540				hypothetical protein
FJKNNBLA_00873	CDS	276				[gene=pinE] [locus_tag=b1158] [db_xref=UniProtKB/Swiss-Prot:P03014] [protein=e14 prophage;site-specific DNA recombinase] [protein_id=AAC74242.1] [location=1209685..1210239][gbkey=CDS]
FJKNNBLA_00874	CDS	369				hypothetical protein
FJKNNBLA_00875	CDS	219				[gene=ogrK] [locus_tag=b2082] [db_xref=UniProtKB/Swiss-Prot:P37057] [protein=prophage P2 late control protein OgrK] [protein_id=AAC75143.1] [location=complement(2167302..2167520)][gbkey=CDS]
FJKNNBLA_00876	CDS	1686				[gene=ybjL] [locus_tag=b0847] [db_xref=UniProtKB/Swiss-Prot:P60869] [protein=putative transport protein YbjL] [protein_id=AAC73934.1] [location=complement(888134..889819)][gbkey=CDS]
FJKNNBLA_00877	CDS	378				[gene=ybjM] [locus_tag=b0848] [db_xref=UniProtKB/Swiss-Prot:P64439] [protein=putative inner membrane protein] [protein_id=AAC73935.1] [location=890089..890466][gbkey=CDS]
FJKNNBLA_00878	CDS	258				[gene=grxA] [locus_tag=b0849] [db_xref=UniProtKB/Swiss-Prot:P68688] [protein=reduced glutaredoxin 1] [protein_id=AAC73936.1] [location=complement(890496..890753)][gbkey=CDS]
FJKNNBLA_00879	CDS	288				hypothetical protein
FJKNNBLA_00880	CDS	723				[gene=nfsA] [locus_tag=b0851] [db_xref=UniProtKB/Swiss-Prot:P17117] [protein=NADPH-dependent nitroreductase NfsA] [protein_id=AAC73938.1] [location=891184..891906][gbkey=CDS]
FJKNNBLA_00881	CDS	903				[gene=rimK] [locus_tag=b0852] [db_xref=UniProtKB/Swiss-Prot:P0C0U4] [protein=ribosomal protein S6 modification protein] [protein_id=AAC73939.1] [location=891967..892869][gbkey=CDS]
FJKNNBLA_00882	CDS	477				[gene=ybjN] [locus_tag=b0853] [db_xref=UniProtKB/Swiss-Prot:P0AAY6] [protein=protein YbjN][protein_id=AAC73940.1] [location=892957..893433] [gbkey=CDS]
FJKNNBLA_00883	CDS	1113				[gene=potF] [locus_tag=b0854] [db_xref=UniProtKB/Swiss-Prot:P31133] [protein=putrescine ABC transporter periplasmic binding protein] [protein_id=AAC73941.1][location=893784..894896] [gbkey=CDS]
FJKNNBLA_00884	CDS	1134				[gene=potG] [locus_tag=b0855] [db_xref=UniProtKB/Swiss-Prot:P31134] [protein=putrescine ABC transporter ATP binding subunit] [protein_id=AAC73942.2][location=894991..896124] [gbkey=CDS]
FJKNNBLA_00885	CDS	954				[gene=potH] [locus_tag=b0856] [db_xref=UniProtKB/Swiss-Prot:P31135] [protein=putrescine ABC transporter membrane subunit PotH] [protein_id=AAC73943.1][location=896134..897087] [gbkey=CDS]
FJKNNBLA_00886	CDS	846				[gene=potI] [locus_tag=b0857] [db_xref=UniProtKB/Swiss-Prot:P0AFL1] [protein=putrescine ABC transporter membrane subunit PotI] [protein_id=AAC73944.1][location=897084..897929] [gbkey=CDS]
FJKNNBLA_00887	CDS	489				[gene=ybjO] [locus_tag=b0858] [db_xref=UniProtKB/Swiss-Prot:P0AAZ0] [protein=putative inner membrane protein] [protein_id=AAC73945.1] [location=897989..898477][gbkey=CDS]
FJKNNBLA_00888	CDS	1128				[gene=rlmC] [locus_tag=b0859] [db_xref=UniProtKB/Swiss-Prot:P75817] [protein=23S rRNA m(5)U747 methyltransferase] [protein_id=AAC73946.1] [location=898518..899645][gbkey=CDS]
FJKNNBLA_00889	CDS	732				[gene=artJ] [locus_tag=b0860] [db_xref=UniProtKB/Swiss-Prot:P30860] [protein=L-arginine ABC transporter periplasmic binding protein] [protein_id=AAC73947.1][location=complement(899844..900575)] [gbkey=CDS]
FJKNNBLA_00890	CDS	669				[gene=artM] [locus_tag=b0861] [db_xref=UniProtKB/Swiss-Prot:P0AE30] [protein=L-arginine ABC transporter membrane subunit ArtM] [protein_id=AAC73948.1][location=complement(900866..901534)] [gbkey=CDS]
FJKNNBLA_00891	CDS	717				[gene=artQ] [locus_tag=b0862] [db_xref=UniProtKB/Swiss-Prot:P0AE34] [protein=L-arginine ABC transporter membrane subunit ArtQ] [protein_id=AAC73949.1][location=complement(901534..902250)] [gbkey=CDS]
FJKNNBLA_00892	CDS	732				[gene=artI] [locus_tag=b0863] [db_xref=UniProtKB/Swiss-Prot:P30859] [protein=putative ABC transporter periplasmic binding protein ArtI] [protein_id=AAC73950.1][location=complement(902257..902988)] [gbkey=CDS]
FJKNNBLA_00893	CDS	729				[gene=artP] [locus_tag=b0864] [db_xref=UniProtKB/Swiss-Prot:P0AAF6] [protein=L-arginine ABC transporter ATP binding subunit] [protein_id=AAC73951.1][location=complement(903006..903734)] [gbkey=CDS]
FJKNNBLA_00894	CDS	516				hypothetical protein
FJKNNBLA_00895	CDS	324				[gene=ybjQ] [locus_tag=b0866] [db_xref=UniProtKB/Swiss-Prot:P0A8C1] [protein=putative heavy metal binding protein YbjQ] [protein_id=AAC73953.1] [location=904593..904916][gbkey=CDS]
FJKNNBLA_00896	CDS	831				[gene=amiD] [locus_tag=b0867] [db_xref=UniProtKB/Swiss-Prot:P75820] [protein=N-acetylmuramoyl-L-alanine amidase D] [protein_id=AAC73954.1] [location=904913..905743][gbkey=CDS]
FJKNNBLA_00897	CDS	1014				[gene=ybjS] [locus_tag=b0868] [db_xref=UniProtKB/Swiss-Prot:P75821] [protein=putative epimerase YbjS] [protein_id=AAC73955.2] [location=complement(905740..906753)][gbkey=CDS]
FJKNNBLA_00898	CDS	1431				[gene=ybjT] [locus_tag=b0869] [db_xref=UniProtKB/Swiss-Prot:P75822] [protein=putative NAD(P)-dependent oxidoreductase YbjT] [protein_id=AAC73956.2][location=complement(906852..908282)] [gbkey=CDS]
FJKNNBLA_00899	CDS	1002				[gene=ltaE] [locus_tag=b0870] [db_xref=UniProtKB/Swiss-Prot:P75823] [protein=low-specificity L-threonine aldolase] [protein_id=AAC73957.1] [location=complement(908293..909294)][gbkey=CDS]
FJKNNBLA_00900	CDS	1719				[gene=poxB] [locus_tag=b0871] [db_xref=UniProtKB/Swiss-Prot:P07003] [protein=pyruvate oxidase][protein_id=AAC73958.1] [location=complement(909331..911049)][gbkey=CDS]
FJKNNBLA_00901	CDS	969				[gene=hcr] [locus_tag=b0872] [db_xref=UniProtKB/Swiss-Prot:P75824] [protein=NADH oxidoreductase][protein_id=AAC73959.1] [location=complement(911182..912150)][gbkey=CDS]
FJKNNBLA_00902	CDS	1653				[gene=hcp] [locus_tag=b0873] [db_xref=UniProtKB/Swiss-Prot:P75825] [protein=protein S-nitrosylase][protein_id=AAC73960.2] [location=complement(912162..913814)][gbkey=CDS]
FJKNNBLA_00903	CDS	900				[gene=lysO] [locus_tag=b0874] [db_xref=UniProtKB/Swiss-Prot:P75826] [protein=L-lysine exporter][protein_id=AAC73961.2] [location=complement(913958..914857)][gbkey=CDS]
FJKNNBLA_00904	CDS	696				[gene=aqpZ] [locus_tag=b0875] [db_xref=UniProtKB/Swiss-Prot:P60844] [protein=water channel AqpZ] [protein_id=AAC73962.1] [location=complement(915352..916047)][gbkey=CDS]
FJKNNBLA_00905	CDS	1659				hypothetical protein
FJKNNBLA_00906	CDS	993				hypothetical protein
FJKNNBLA_00907	CDS	1098				[gene=macA] [locus_tag=b0878] [db_xref=UniProtKB/Swiss-Prot:P75830] [protein=ABC-type tripartite efflux pump membrane fusion protein] [protein_id=AAC73965.2][location=919235..920350] [gbkey=CDS]
FJKNNBLA_00908	CDS	1947				[gene=macB] [locus_tag=b0879] [db_xref=UniProtKB/Swiss-Prot:P75831] [protein=ABC-type tripartite efflux pump ATP binding/membrane subunit] [protein_id=AAC73966.1][location=920347..922293] [gbkey=CDS]
FJKNNBLA_00909	CDS	225				[gene=cspD] [locus_tag=b0880] [db_xref=UniProtKB/Swiss-Prot:P0A968] [protein=DNA replication inhibitor CspD] [protein_id=AAC73967.1] [location=complement(922366..922590)][gbkey=CDS]
FJKNNBLA_00910	CDS	321				[gene=clpS] [locus_tag=b0881] [db_xref=UniProtKB/Swiss-Prot:P0A8Q6] [protein=specificity factor for ClpA-ClpP chaperone-protease complex] [protein_id=AAC73968.1][location=922913..923233] [gbkey=CDS]
FJKNNBLA_00911	CDS	2133				[gene=clpA] [locus_tag=b0882] [db_xref=UniProtKB/Swiss-Prot:P0ABH9] [protein=ATP-dependent Clp protease ATP-binding subunit ClpA] [protein_id=AAC73969.1][location=923264..925540] [gbkey=CDS]
FJKNNBLA_00912	tRNA	88				tRNA-Ser(gga)
FJKNNBLA_00913	CDS	219				[gene=infA] [locus_tag=b0884] [db_xref=UniProtKB/Swiss-Prot:P69222] [protein=translation initiation factor IF-1] [protein_id=AAC73970.1] [location=complement(926225..926443)][gbkey=CDS]
FJKNNBLA_00914	CDS	705				[gene=aat] [locus_tag=b0885] [db_xref=UniProtKB/Swiss-Prot:P0A8P1] [protein=leucyl/phenylalanyl-tRNA--protein transferase] [protein_id=AAC73971.1] [location=complement(926728..927432)][gbkey=CDS]
FJKNNBLA_00915	CDS	1722				[gene=cydC] [locus_tag=b0886] [db_xref=UniProtKB/Swiss-Prot:P23886] [protein=glutathione/L-cysteine ABC exporter subunit CydC] [protein_id=AAC73972.1][location=complement(927474..929195)] [gbkey=CDS]
FJKNNBLA_00916	CDS	1767				[gene=cydD] [locus_tag=b0887] [db_xref=UniProtKB/Swiss-Prot:P29018] [protein=glutathione/L-cysteine ABC exporter subunit CydD] [protein_id=AAC73973.1][location=complement(929196..930962)] [gbkey=CDS]
FJKNNBLA_00917	CDS	966				[gene=trxB] [locus_tag=b0888] [db_xref=UniProtKB/Swiss-Prot:P0A9P4] [protein=thioredoxin reductase] [protein_id=AAC73974.1] [location=complement(931085..932050)][gbkey=CDS]
FJKNNBLA_00918	CDS	495				[gene=lrp] [locus_tag=b0889] [db_xref=UniProtKB/Swiss-Prot:P0ACJ0] [protein=DNA-binding transcriptional dual regulator Lrp] [protein_id=AAC73975.1][location=932595..933089] [gbkey=CDS]
FJKNNBLA_00919	CDS	4029				[gene=ftsK] [locus_tag=b0890] [db_xref=UniProtKB/Swiss-Prot:P46889] [protein=cell division DNA translocase FtsK] [protein_id=AAC73976.1] [location=933224..937213][gbkey=CDS]
FJKNNBLA_00920	CDS	612				[gene=lolA] [locus_tag=b0891] [db_xref=UniProtKB/Swiss-Prot:P61316] [protein=outer membrane lipoprotein carrier protein] [protein_id=AAC73977.2] [location=937372..937983][gbkey=CDS]
FJKNNBLA_00921	CDS	1344				[gene=rarA] [locus_tag=b0892] [db_xref=UniProtKB/Swiss-Prot:P0AAZ4] [protein=replication-associated recombination protein A] [protein_id=AAC73978.1][location=937994..939337] [gbkey=CDS]
FJKNNBLA_00922	CDS	1293				[gene=serS] [locus_tag=b0893] [db_xref=UniProtKB/Swiss-Prot:P0A8L1] [protein=serine--tRNA ligase] [protein_id=AAC73979.1] [location=939428..940720][gbkey=CDS]
FJKNNBLA_00923	CDS	2445				[gene=dmsA] [locus_tag=b0894] [db_xref=UniProtKB/Swiss-Prot:P18775] [protein=dimethyl sulfoxide reductase subunit A] [protein_id=AAC73980.2] [location=940959..943403][gbkey=CDS]
FJKNNBLA_00924	CDS	618				[gene=dmsB] [locus_tag=b0895] [db_xref=UniProtKB/Swiss-Prot:P18776] [protein=dimethyl sulfoxide reductase subunit B] [protein_id=AAC73981.1] [location=943414..944031][gbkey=CDS]
FJKNNBLA_00925	CDS	864				[gene=dmsC] [locus_tag=b0896] [db_xref=UniProtKB/Swiss-Prot:P18777] [protein=dimethyl sulfoxide reductase subunit C] [protein_id=AAC73982.1] [location=944033..944896][gbkey=CDS]
FJKNNBLA_00926	CDS	627				[gene=ycaC] [locus_tag=b0897] [db_xref=UniProtKB/Swiss-Prot:P21367] [protein=putative hydrolase][protein_id=AAC73983.1] [location=complement(944931..945557)][gbkey=CDS]
FJKNNBLA_00927	CDS	1149				[gene=ycaD] [locus_tag=b0898] [db_xref=UniProtKB/Swiss-Prot:P21503] [protein=putative transporter YcaD] [protein_id=AAC73984.1] [location=945871..947019][gbkey=CDS]
FJKNNBLA_00928	CDS	1431				[gene=ycaM] [locus_tag=b0899] [db_xref=UniProtKB/Swiss-Prot:P75835] [protein=putative transporter YcaM] [protein_id=AAC73985.2] [location=947229..948659][gbkey=CDS]
FJKNNBLA_00929	CDS	909				[gene=ycaN] [locus_tag=b0900] [db_xref=UniProtKB/Swiss-Prot:P75836] [protein=putative LysR-type transcriptional regulator YcaN] [protein_id=AAC73986.1][location=complement(948660..949568)] [gbkey=CDS]
FJKNNBLA_00930	CDS	591				[gene=ycaK] [locus_tag=b0901] [db_xref=UniProtKB/Swiss-Prot:P43340] [protein=putative NAD(P)H-dependent oxidoreductase YcaK] [protein_id=AAC73987.1][location=949668..950258] [gbkey=CDS]
FJKNNBLA_00931	CDS	741				[gene=pflA] [locus_tag=b0902] [db_xref=UniProtKB/Swiss-Prot:P0A9N4] [protein=pyruvate formate-lyase activating enzyme] [protein_id=AAC73988.1] [location=complement(950340..951080)][gbkey=CDS]
FJKNNBLA_00932	CDS	2283				[gene=pflB] [locus_tag=b0903] [db_xref=UniProtKB/Swiss-Prot:P09373] [protein=pyruvate formate-lyase][protein_id=AAC73989.1] [location=complement(951272..953554)][gbkey=CDS]
FJKNNBLA_00933	CDS	858				[gene=focA] [locus_tag=b0904] [db_xref=UniProtKB/Swiss-Prot:P0AC23] [protein=formate channel FocA] [protein_id=AAC73990.1] [location=complement(953609..954466)][gbkey=CDS]
FJKNNBLA_00934	CDS	1761				[gene=ycaO] [locus_tag=b0905] [db_xref=UniProtKB/Swiss-Prot:P75838] [protein=ribosomal protein S12 methylthiotransferase accessory factor YcaO] [protein_id=AAC73991.2][location=complement(954872..956632)] [gbkey=CDS]
FJKNNBLA_00935	CDS	693				hypothetical protein
FJKNNBLA_00936	CDS	1089				[gene=serC] [locus_tag=b0907] [db_xref=UniProtKB/Swiss-Prot:P23721] [protein=phosphoserine/phosphohydroxythreonine aminotransferase] [protein_id=AAC73993.1][location=957653..958741] [gbkey=CDS]
FJKNNBLA_00937	CDS	1284				[gene=aroA] [locus_tag=b0908] [db_xref=UniProtKB/Swiss-Prot:P0A6D3] [protein=3-phosphoshikimate 1-carboxyvinyltransferase] [protein_id=AAC73994.1] [location=958812..960095][gbkey=CDS]
FJKNNBLA_00938	CDS	765				[gene=ycaL] [locus_tag=b0909] [db_xref=UniProtKB/Swiss-Prot:P43674] [protein=periplasmic protease YcaL] [protein_id=AAC73995.2] [location=960264..961028][gbkey=CDS]
FJKNNBLA_00939	CDS	684				[gene=cmk] [locus_tag=b0910] [db_xref=UniProtKB/Swiss-Prot:P0A6I0] [protein=cytidylate kinase][protein_id=AAC73996.1] [location=961201..961884] [gbkey=CDS]
FJKNNBLA_00940	CDS	1674				[gene=rpsA] [locus_tag=b0911] [db_xref=UniProtKB/Swiss-Prot:P0AG67] [protein=30S ribosomal subunit protein S1] [protein_id=AAC73997.1] [location=961995..963668][gbkey=CDS]
FJKNNBLA_00941	CDS	285				[gene=ihfB] [locus_tag=b0912] [db_xref=UniProtKB/Swiss-Prot:P0A6Y1] [protein=integration host factor subunit beta] [protein_id=AAC73998.1] [location=963828..964112][gbkey=CDS]
FJKNNBLA_00942	CDS	2265				[gene=ycaI] [locus_tag=b0913] [db_xref=UniProtKB/Swiss-Prot:P37443] [protein=metallo-beta-lactamase superfamily inner membrane protein YcaI] [protein_id=AAC73999.2][location=964320..966584] [gbkey=CDS]
FJKNNBLA_00943	CDS	1749				[gene=msbA] [locus_tag=b0914] [db_xref=UniProtKB/Swiss-Prot:P60752] [protein=ATP-binding lipopolysaccharide transport protein] [protein_id=AAC74000.1][location=966621..968369] [gbkey=CDS]
FJKNNBLA_00944	CDS	987				[gene=lpxK] [locus_tag=b0915] [db_xref=UniProtKB/Swiss-Prot:P27300] [protein=tetraacyldisaccharide 4'-kinase] [protein_id=AAC74001.1] [location=968366..969352][gbkey=CDS]
FJKNNBLA_00945	CDS	1233				[gene=ycaQ] [locus_tag=b0916] [db_xref=UniProtKB/Swiss-Prot:P75843] [protein=interstrand DNA crosslink repair glycosylase] [protein_id=AAC74002.1] [location=969389..970621][gbkey=CDS]
